Value,alibaba,apertium,argos,baidu,bing,caiyun,cloudTranslation,deepl,elia,google,iflyrec,itranslate,languageWire,lingvanex,mglip,modernMt,papago,qqFanyi,qqTranSmart,reverso,sogou,translateCom,utibet
自动,,,,auto,,,all,auto,,auto,,auto,,,,,,auto,,,,,
中文,zh,,zh,zh,zh-Hans,zh,zh-cn,zh,,zh-CN,zh,zh-CN,,zh-Hans_CN,zh,zh-CN,zh-CN,zh,zh,zh,zh-CHS,zh,zh
中文(台湾),zh-tw,,zt,cht,zh-Hant,,zh-tw,,,zh-TW,,zh-TW,,zh-Hant_TW,,zh-TW,zh-TW,,,,,zh-TW,
中文(香港),,,,,,,,,,,,zh-HK,,,,,,,,,,,
中文(粤语),yue,,,yue,yue,,yue,,,,yue,,,,,,,,,,,,
中文(文言文),,,,wyw,lzh,,,,,,,,,,,,,,,,,,
藏语,bo,,,,bo,,bo,,,,,,,,,bo,,,bo,,,,ti
壮语,za,,,,,,,,,,,,,,,,,,,,,,
苗语,hmn,,,hmn,mww,,,,,hmn,,hmn,,hmn_CN,,,,,,,,,
彝语,ii,,,,,,,,,,,,,,,,,,,,,,
蒙古语,mn,,,,,,mn,,,mn,,mn,,mn_MN,,mn,,,mn,,,,
蒙古语(西里尔文),,,,,mn-Cyrl,,,,,,,,,,xle,,,,mnk,,,,
蒙古语(传统蒙古字母),,,,,mn-Mong,,,,,,,,,,mon,,,,,,,,
德语,de,,de,de,de,,de,de,,de,de,de,de,de_DE,,de,de,de,de,de,de,de,
俄语,ru,rus,ru,ru,ru,ru,ru,ru,,ru,ru,ru,,ru_RU,,ru,ru,ru,ru,ru,ru,ru,
日语,ja,,ja,jp,ja,ja,ja,ja,,ja,ja,ja,,ja_JP,,ja,ja,jp,ja,ja,ja,ja,
英语,en,eng,en,en,en,en,en-us,en,en,en,en,en,en,,,en,en,en,en,en,en,en,
英语(澳大利亚),,,,,,,,,,,,en-AU,,,,,,,,,,,
英语(英国),,,,,,,,,,,,en-UK,en-GB,en_GB,,,,,,,,en-gb,
英语(美国),,,,,,,,,,,,en-US,en-US,,,,,,,,,,
韩语,ko,,ko,kor,ko,ko,ko,ko,,ko,ko,ko,,ko_KR,,ko,ko,kr,ko,ko,ko,ko,
西班牙语,es,spa,es,spa,es,es,es,es,es,es,es,es-ES,es,es_ES,,es-ES,es,es,es,es,es,es,
西班牙语(墨西哥),,,,,,,,,,,,es-MX,,,,,,,,,,,
西班牙语(美国),,,,,,,,,,,,es-US,,,,,,,,,,,
西班牙语(拉丁美洲),,,,,,,,,,,,,,,,es-419,,,,,,,
荷兰语,nl,nld,nl,nl,nl,,nl,nl,,nl,,nl,nl,nl_NL,,nl,,,nl,nl,nl,nl,
法语,fr,fra,fr,fra,fr,fr,fr,fr,fr,fr,fr,fr-FR,fr,fr_FR,,fr,fr,fr,fr,fr,fr,fr,
中古法语,,,,frm,,,,,,,,,,,,,,,,,,,
加拿大法语,,,,frn,fr-CA,,,,,,,fr-CA,,fr_CA,,,,,,,,fr-ca,
意大利语,it,ita,it,it,it,,it,it,,it,it,it,,it_IT,,it,it,it,it,it,it,it,
阿布哈兹语,ab,,,,,,,,,,,,,,,,,,,,,,
亚齐语,ace,,,ach,,,,,,,,,,,,ace,,,ach,,,,
圣卢西亚克里奥尔法语,,,,,,,,,,,,,,,,,,,,,,,
南非语,af,,,,af,,,,,af,,af,,af_ZA,,af,,,af,af,,,
南非荷兰语,,afr,,afr,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达克里奥尔语,,,,,,,,,,,,,,,,,,,,,,,
阿肯语,ak,,,aka,,,,,,ak,,,,,,ak,,,ak,,,,
托斯克阿尔巴尼亚语,,,,,,,,,,,,,,,,als,,,,,,,
阿姆哈拉语,am,,,amh,am,,,,,am,,,,am_ET,,am,,,am,,,,
阿拉贡语,an,arg,,arg,,,,,,,,,,,,,,,an,,,,
古英语,ang,,,eno,,,,,,,,,,,,,,,,,,,
阿拉伯语,ar,ara,ar,ara,ar,,ar,ar,,ar,ar,,,,,ar,,ar,ar,ar,ar,ar,
阿拉伯语(阿联酋),,,,,,,,,,,,ar-AE,,,,,,,,,,,
